"id_contrat","age_souscription","genre","duree","capital_assure","fumeur","annee_souscription","age_actuel","anciennete","duree_restante"
"DC00124",45,"F",15,114000,TRUE,2023,48,3,12
"DC00125",60,"H",10,83000,FALSE,2022,64,4,6
"DC00126",20,"H",25,51000,TRUE,2021,25,5,20
"DC00127",21,"H",25,61000,FALSE,2025,22,1,24
"DC00128",43,"H",10,109000,FALSE,2019,50,7,3
"DC00129",53,"F",10,218000,FALSE,2024,55,2,8
"DC00130",44,"F",10,192000,FALSE,2023,47,3,7
"DC00131",47,"F",15,515000,FALSE,2021,52,5,10
"DC00132",33,"H",15,181000,TRUE,2021,38,5,10
"DC00133",53,"F",10,106000,FALSE,2021,58,5,5
"DC00134",21,"F",20,220000,FALSE,2019,28,7,13
"DC00135",50,"H",15,119000,FALSE,2023,53,3,12
"DC00136",51,"H",10,384000,TRUE,2020,57,6,4
"DC00137",46,"F",15,158000,FALSE,2020,52,6,9
"DC00138",29,"H",15,780000,TRUE,2022,33,4,11
"DC00139",47,"F",15,31000,FALSE,2018,55,8,7
"DC00140",56,"F",5,62000,FALSE,2022,60,4,1
"DC00142",24,"F",20,232000,FALSE,2023,27,3,17
"DC00143",54,"F",16,149000,FALSE,2024,56,2,14
"DC00144",33,"H",15,34000,TRUE,2022,37,4,11
"DC00145",33,"F",5,82000,FALSE,2024,35,2,3
"DC00146",47,"F",20,315000,FALSE,2019,54,7,13
"DC00147",52,"F",5,303000,FALSE,2022,56,4,1
"DC00148",56,"F",10,103000,FALSE,2024,58,2,8
"DC00149",54,"F",16,112000,TRUE,2024,56,2,14
"DC00150",45,"F",15,50000,FALSE,2021,50,5,10
"DC00151",50,"H",20,139000,FALSE,2021,55,5,15
"DC00152",51,"H",10,199000,TRUE,2024,53,2,8
"DC00153",36,"F",20,228000,FALSE,2023,39,3,17
"DC00154",46,"H",24,609000,FALSE,2021,51,5,19
"DC00155",49,"F",15,404000,FALSE,2020,55,6,9
"DC00156",55,"H",15,272000,TRUE,2024,57,2,13
"DC00157",39,"H",15,63000,TRUE,2024,41,2,13
"DC00158",30,"F",20,155000,FALSE,2021,35,5,15
"DC00159",36,"H",20,258000,FALSE,2025,37,1,19
"DC00160",28,"F",10,82000,TRUE,2021,33,5,5
"DC00161",36,"F",15,73000,FALSE,2022,40,4,11
"DC00162",32,"H",10,51000,FALSE,2022,36,4,6
"DC00163",50,"F",15,148000,TRUE,2021,55,5,10
"DC00164",20,"H",15,74000,FALSE,2025,21,1,14
"DC00165",36,"F",20,81000,FALSE,2023,39,3,17
"DC00166",52,"H",15,105000,FALSE,2021,57,5,10
"DC00167",47,"H",23,145000,FALSE,2021,52,5,18
"DC00168",21,"H",5,187000,FALSE,2023,24,3,2
"DC00169",50,"F",10,83000,FALSE,2023,53,3,7
"DC00170",27,"H",25,133000,FALSE,2024,29,2,23
"DC00171",35,"H",15,302000,FALSE,2022,39,4,11
"DC00172",22,"H",10,227000,FALSE,2018,30,8,2
"DC00173",56,"H",14,881000,TRUE,2023,59,3,11
"DC00174",32,"F",15,84000,FALSE,2022,36,4,11
"DC00175",31,"H",20,162000,TRUE,2024,33,2,18
"DC00176",20,"F",30,143000,FALSE,2022,24,4,26
"DC00177",49,"F",10,586000,FALSE,2022,53,4,6
"DC00179",56,"H",10,90000,FALSE,2023,59,3,7
"DC00180",25,"F",5,283000,FALSE,2024,27,2,3
"DC00181",35,"H",10,347000,FALSE,2023,38,3,7
"DC00182",29,"F",10,296000,TRUE,2021,34,5,5
"DC00183",26,"F",15,76000,TRUE,2023,29,3,12
"DC00185",60,"F",10,825000,FALSE,2018,68,8,2
"DC00186",44,"F",10,41000,FALSE,2020,50,6,4
"DC00187",22,"F",15,538000,FALSE,2020,28,6,9
"DC00188",37,"F",15,265000,FALSE,2024,39,2,13
"DC00189",47,"H",15,97000,FALSE,2024,49,2,13
"DC00190",34,"F",10,123000,FALSE,2022,38,4,6
"DC00191",48,"H",22,75000,TRUE,2023,51,3,19
"DC00192",39,"F",25,116000,FALSE,2025,40,1,24
"DC00193",44,"H",10,198000,TRUE,2020,50,6,4
"DC00194",35,"F",15,237000,FALSE,2023,38,3,12
"DC00195",43,"F",15,38000,TRUE,2024,45,2,13
"DC00196",52,"H",15,117000,TRUE,2023,55,3,12
"DC00197",57,"F",13,119000,FALSE,2020,63,6,7
"DC00198",60,"H",10,91000,FALSE,2022,64,4,6
"DC00199",41,"H",10,264000,FALSE,2021,46,5,5
"DC00200",45,"H",15,326000,FALSE,2021,50,5,10
"DC00201",39,"F",20,229000,FALSE,2021,44,5,15
"DC00202",56,"F",14,80000,FALSE,2020,62,6,8
"DC00203",34,"F",15,156000,FALSE,2023,37,3,12
"DC00204",40,"H",10,224000,FALSE,2020,46,6,4
"DC00206",44,"F",15,62000,FALSE,2024,46,2,13
"DC00207",57,"H",13,124000,FALSE,2018,65,8,5
"DC00208",20,"H",25,92000,FALSE,2024,22,2,23
"DC00209",33,"F",15,155000,TRUE,2018,41,8,7
"DC00210",30,"H",15,147000,TRUE,2025,31,1,14
"DC00211",47,"H",10,79000,FALSE,2021,52,5,5
"DC00212",37,"F",10,762000,FALSE,2024,39,2,8
"DC00213",53,"F",15,403000,FALSE,2022,57,4,11
"DC00214",55,"H",15,367000,TRUE,2021,60,5,10
"DC00215",39,"H",20,53000,FALSE,2020,45,6,14
"DC00216",34,"H",20,302000,FALSE,2021,39,5,15
"DC00217",26,"H",10,109000,FALSE,2021,31,5,5
"DC00218",46,"H",10,159000,FALSE,2021,51,5,5
"DC00219",49,"H",10,25000,FALSE,2021,54,5,5
"DC00220",24,"H",30,121000,TRUE,2021,29,5,25
"DC00221",41,"H",20,215000,TRUE,2023,44,3,17
"DC00222",39,"H",20,35000,FALSE,2024,41,2,18
"DC00223",60,"H",10,147000,FALSE,2022,64,4,6
"DC00224",30,"F",30,107000,FALSE,2025,31,1,29
"DC00225",47,"H",5,548000,FALSE,2022,51,4,1
"DC00226",57,"H",10,137000,FALSE,2020,63,6,4
"DC00227",28,"F",10,115000,FALSE,2021,33,5,5
"DC00228",42,"H",15,186000,TRUE,2023,45,3,12
"DC00229",45,"F",10,76000,FALSE,2022,49,4,6
"DC00230",60,"F",10,197000,FALSE,2022,64,4,6
"DC00231",30,"H",15,185000,FALSE,2022,34,4,11
"DC00232",38,"H",30,37000,FALSE,2019,45,7,23
"DC00233",47,"F",15,124000,FALSE,2021,52,5,10
"DC00234",40,"F",10,101000,TRUE,2024,42,2,8
"DC00235",55,"H",15,109000,FALSE,2022,59,4,11
"DC00236",41,"H",5,95000,FALSE,2023,44,3,2
"DC00237",44,"H",20,379000,FALSE,2024,46,2,18
"DC00238",49,"F",10,98000,FALSE,2023,52,3,7
"DC00239",40,"F",20,231000,FALSE,2019,47,7,13
"DC00240",40,"H",20,331000,FALSE,2021,45,5,15
"DC00241",25,"F",10,94000,FALSE,2022,29,4,6
"DC00242",60,"H",10,132000,FALSE,2024,62,2,8
"DC00244",43,"F",27,187000,TRUE,2023,46,3,24
"DC00245",26,"F",25,75000,FALSE,2022,30,4,21
"DC00246",33,"H",10,276000,FALSE,2023,36,3,7
"DC00247",31,"F",10,186000,TRUE,2020,37,6,4
"DC00248",29,"F",15,222000,FALSE,2018,37,8,7
"DC00249",44,"H",10,276000,FALSE,2021,49,5,5
"DC00251",21,"F",10,171000,FALSE,2018,29,8,2
"DC00252",54,"F",10,224000,FALSE,2023,57,3,7
"DC00253",53,"H",10,123000,FALSE,2023,56,3,7
"DC00254",46,"H",10,102000,TRUE,2022,50,4,6
"DC00255",50,"H",20,270000,FALSE,2021,55,5,15
"DC00256",46,"H",15,153000,TRUE,2018,54,8,7
"DC00257",35,"F",20,253000,FALSE,2024,37,2,18
"DC00258",55,"H",10,195000,FALSE,2022,59,4,6
"DC00259",43,"F",25,109000,TRUE,2021,48,5,20
"DC00261",40,"H",20,192000,TRUE,2021,45,5,15
"DC00262",39,"H",5,140000,TRUE,2022,43,4,1
"DC00264",52,"H",18,48000,FALSE,2021,57,5,13
"DC00265",33,"H",10,275000,FALSE,2021,38,5,5
"DC00266",47,"H",10,82000,TRUE,2023,50,3,7
"DC00267",52,"H",10,111000,TRUE,2024,54,2,8
"DC00268",48,"F",10,118000,TRUE,2024,50,2,8
"DC00269",55,"H",15,201000,FALSE,2019,62,7,8
"DC00270",51,"H",15,141000,TRUE,2022,55,4,11
"DC00271",57,"H",13,116000,FALSE,2023,60,3,10
"DC00272",41,"H",15,88000,FALSE,2024,43,2,13
"DC00273",26,"H",10,251000,TRUE,2021,31,5,5
"DC00275",50,"F",5,855000,TRUE,2022,54,4,1
"DC00276",51,"F",10,37000,FALSE,2024,53,2,8
"DC00277",37,"H",10,463000,FALSE,2025,38,1,9
"DC00278",58,"F",12,83000,FALSE,2023,61,3,9
"DC00279",32,"H",15,125000,TRUE,2024,34,2,13
"DC00280",49,"F",20,249000,FALSE,2020,55,6,14
"DC00281",21,"F",10,234000,TRUE,2021,26,5,5
"DC00282",47,"H",23,183000,FALSE,2023,50,3,20
"DC00283",22,"H",20,114000,FALSE,2025,23,1,19
"DC00284",52,"H",10,97000,FALSE,2022,56,4,6
"DC00285",48,"H",15,1056000,TRUE,2024,50,2,13
"DC00286",39,"H",15,18000,FALSE,2021,44,5,10
"DC00287",28,"F",10,195000,FALSE,2022,32,4,6
"DC00288",29,"H",25,201000,FALSE,2022,33,4,21
"DC00289",26,"H",20,143000,TRUE,2024,28,2,18
"DC00290",47,"H",10,168000,FALSE,2022,51,4,6
"DC00291",37,"F",10,199000,FALSE,2022,41,4,6
"DC00292",44,"H",10,188000,FALSE,2023,47,3,7
"DC00293",29,"F",15,206000,FALSE,2025,30,1,14
"DC00294",28,"H",20,560000,FALSE,2025,29,1,19
"DC00295",38,"H",15,62000,FALSE,2018,46,8,7
"DC00296",34,"H",10,141000,TRUE,2020,40,6,4
"DC00297",22,"H",30,119000,FALSE,2023,25,3,27
"DC00298",41,"H",15,166000,FALSE,2021,46,5,10
"DC00299",39,"F",20,145000,TRUE,2024,41,2,18
"DC00300",53,"H",10,69000,TRUE,2024,55,2,8
"DC00301",42,"H",10,116000,FALSE,2022,46,4,6
"DC00302",36,"H",15,179000,FALSE,2021,41,5,10
"DC00303",37,"F",20,143000,FALSE,2019,44,7,13
"DC00304",38,"H",10,229000,FALSE,2019,45,7,3
"DC00305",36,"H",15,249000,FALSE,2023,39,3,12
"DC00306",49,"F",21,106000,FALSE,2025,50,1,20
"DC00307",29,"F",20,81000,FALSE,2021,34,5,15
"DC00308",56,"F",10,111000,TRUE,2022,60,4,6
"DC00309",29,"H",10,126000,TRUE,2022,33,4,6
"DC00310",53,"H",17,60000,FALSE,2021,58,5,12
"DC00311",23,"H",30,56000,FALSE,2019,30,7,23
"DC00312",44,"F",25,69000,TRUE,2022,48,4,21
"DC00313",45,"F",20,313000,TRUE,2023,48,3,17
"DC00314",58,"H",10,240000,TRUE,2023,61,3,7
"DC00315",52,"F",15,282000,FALSE,2023,55,3,12
"DC00316",41,"H",10,112000,FALSE,2021,46,5,5
"DC00317",38,"H",10,74000,FALSE,2023,41,3,7
"DC00318",25,"F",10,171000,TRUE,2021,30,5,5
"DC00319",44,"H",20,350000,FALSE,2023,47,3,17
"DC00320",49,"F",20,127000,FALSE,2022,53,4,16
"DC00321",58,"H",10,190000,FALSE,2024,60,2,8
"DC00322",44,"H",20,181000,TRUE,2022,48,4,16
"DC00323",21,"H",10,278000,FALSE,2023,24,3,7
"DC00324",57,"F",5,122000,FALSE,2022,61,4,1
"DC00325",28,"H",20,183000,TRUE,2021,33,5,15
"DC00326",30,"H",15,103000,TRUE,2021,35,5,10
"DC00329",24,"H",15,162000,FALSE,2021,29,5,10
"DC00330",33,"F",15,355000,FALSE,2022,37,4,11
"DC00331",20,"H",10,137000,FALSE,2024,22,2,8
"DC00332",60,"H",10,683000,FALSE,2022,64,4,6
"DC00333",29,"H",10,121000,TRUE,2025,30,1,9
"DC00334",31,"F",20,217000,TRUE,2023,34,3,17
"DC00335",41,"H",10,61000,FALSE,2020,47,6,4
"DC00336",20,"H",25,137000,TRUE,2025,21,1,24
"DC00337",23,"H",10,58000,FALSE,2019,30,7,3
"DC00338",22,"H",15,89000,TRUE,2021,27,5,10
"DC00339",57,"F",10,63000,FALSE,2023,60,3,7
"DC00340",24,"H",10,45000,FALSE,2022,28,4,6
"DC00341",39,"H",20,119000,FALSE,2020,45,6,14
"DC00342",53,"F",17,41000,TRUE,2019,60,7,10
"DC00343",42,"H",10,122000,FALSE,2021,47,5,5
"DC00344",55,"F",10,308000,FALSE,2024,57,2,8
"DC00345",39,"H",20,170000,TRUE,2023,42,3,17
"DC00346",28,"H",20,76000,FALSE,2023,31,3,17
"DC00347",46,"H",24,76000,FALSE,2023,49,3,21
"DC00348",22,"H",10,255000,FALSE,2025,23,1,9
"DC00349",50,"H",15,39000,TRUE,2021,55,5,10
"DC00350",37,"H",20,143000,FALSE,2024,39,2,18
"DC00351",29,"H",10,52000,FALSE,2020,35,6,4
"DC00353",59,"F",10,48000,FALSE,2020,65,6,4
"DC00354",39,"H",25,191000,FALSE,2020,45,6,19
"DC00355",56,"F",5,68000,FALSE,2023,59,3,2
"DC00356",25,"F",10,199000,FALSE,2021,30,5,5
"DC00357",48,"H",10,355000,FALSE,2019,55,7,3
"DC00358",23,"F",25,50000,FALSE,2025,24,1,24
"DC00359",46,"H",24,83000,TRUE,2023,49,3,21
"DC00360",28,"H",30,66000,FALSE,2024,30,2,28
"DC00361",59,"F",11,170000,FALSE,2025,60,1,10
"DC00362",42,"F",15,296000,FALSE,2020,48,6,9
"DC00363",45,"H",5,168000,FALSE,2025,46,1,4
"DC00364",31,"H",10,1500000,FALSE,2024,33,2,8
"DC00365",29,"H",10,140000,TRUE,2025,30,1,9
"DC00366",42,"H",10,167000,TRUE,2021,47,5,5
"DC00367",46,"F",10,135000,TRUE,2020,52,6,4
"DC00368",53,"F",10,231000,FALSE,2020,59,6,4
"DC00369",35,"H",20,136000,TRUE,2021,40,5,15
"DC00370",44,"F",5,126000,FALSE,2023,47,3,2
"DC00371",47,"F",15,106000,FALSE,2019,54,7,8
"DC00372",34,"H",20,87000,FALSE,2021,39,5,15
"DC00373",57,"F",13,384000,FALSE,2022,61,4,9
"DC00374",42,"H",10,231000,FALSE,2021,47,5,5
"DC00375",38,"F",15,390000,FALSE,2023,41,3,12
"DC00376",29,"H",25,105000,FALSE,2022,33,4,21
"DC00377",32,"F",15,184000,FALSE,2022,36,4,11
"DC00378",57,"F",13,195000,FALSE,2019,64,7,6
"DC00379",20,"F",30,48000,FALSE,2022,24,4,26
"DC00380",30,"H",10,298000,FALSE,2018,38,8,2
"DC00381",45,"H",20,156000,TRUE,2020,51,6,14
"DC00382",29,"H",25,212000,FALSE,2022,33,4,21
"DC00383",34,"F",10,235000,TRUE,2022,38,4,6
"DC00384",36,"H",20,170000,FALSE,2025,37,1,19
"DC00385",27,"F",5,54000,FALSE,2022,31,4,1
"DC00386",55,"F",10,240000,TRUE,2022,59,4,6
"DC00387",25,"H",10,244000,TRUE,2025,26,1,9
"DC00388",29,"F",10,132000,FALSE,2020,35,6,4
"DC00389",46,"H",15,254000,TRUE,2021,51,5,10
"DC00390",39,"H",15,155000,FALSE,2019,46,7,8
"DC00391",44,"H",25,47000,TRUE,2024,46,2,23
"DC00392",43,"F",10,233000,FALSE,2022,47,4,6
"DC00393",35,"H",30,189000,TRUE,2024,37,2,28
"DC00394",35,"H",10,322000,FALSE,2022,39,4,6
"DC00395",22,"H",10,64000,FALSE,2025,23,1,9
"DC00396",51,"F",10,90000,FALSE,2021,56,5,5
"DC00397",40,"H",10,59000,FALSE,2022,44,4,6
"DC00398",58,"F",10,90000,TRUE,2025,59,1,9
"DC00399",22,"H",20,235000,FALSE,2023,25,3,17
"DC00400",29,"H",15,272000,TRUE,2022,33,4,11
"DC00401",40,"F",10,123000,TRUE,2019,47,7,3
"DC00402",26,"H",15,96000,TRUE,2024,28,2,13
"DC00403",38,"H",15,69000,FALSE,2021,43,5,10
"DC00404",48,"F",15,542000,FALSE,2022,52,4,11
"DC00405",43,"H",25,298000,FALSE,2020,49,6,19
"DC00406",48,"H",22,69000,TRUE,2022,52,4,18
"DC00407",49,"F",15,166000,FALSE,2020,55,6,9
"DC00408",54,"H",15,128000,FALSE,2024,56,2,13
"DC00409",53,"H",10,152000,FALSE,2020,59,6,4
"DC00410",58,"H",5,194000,TRUE,2023,61,3,2
"DC00411",40,"H",15,693000,FALSE,2024,42,2,13
"DC00412",45,"H",20,318000,TRUE,2024,47,2,18
"DC00413",52,"H",5,198000,FALSE,2023,55,3,2
"DC00415",42,"F",20,453000,TRUE,2021,47,5,15
"DC00416",60,"H",10,234000,FALSE,2023,63,3,7
"DC00417",37,"H",5,186000,FALSE,2023,40,3,2
"DC00418",40,"H",15,117000,FALSE,2023,43,3,12
"DC00419",52,"H",10,53000,FALSE,2021,57,5,5
"DC00420",30,"F",10,283000,TRUE,2022,34,4,6
"DC00421",59,"F",11,135000,FALSE,2022,63,4,7
"DC00422",33,"F",15,331000,TRUE,2020,39,6,9
"DC00423",21,"F",5,320000,FALSE,2024,23,2,3
"DC00424",57,"F",10,143000,FALSE,2019,64,7,3
"DC00425",54,"H",16,110000,TRUE,2019,61,7,9
"DC00426",47,"F",23,408000,FALSE,2025,48,1,22
"DC00427",35,"H",10,230000,FALSE,2023,38,3,7
"DC00428",35,"F",20,175000,FALSE,2021,40,5,15
"DC00429",27,"F",10,372000,FALSE,2024,29,2,8
"DC00430",57,"H",13,598000,FALSE,2025,58,1,12
"DC00431",57,"F",5,56000,FALSE,2024,59,2,3
"DC00432",27,"F",15,194000,TRUE,2022,31,4,11
"DC00433",50,"H",20,317000,FALSE,2024,52,2,18
"DC00434",56,"F",14,95000,TRUE,2022,60,4,10
"DC00435",42,"H",20,104000,FALSE,2023,45,3,17
"DC00436",60,"F",10,59000,FALSE,2023,63,3,7
"DC00437",29,"H",10,143000,FALSE,2021,34,5,5
"DC00438",30,"H",15,96000,TRUE,2021,35,5,10
"DC00439",46,"H",15,66000,FALSE,2021,51,5,10
"DC00440",42,"H",10,504000,FALSE,2024,44,2,8
"DC00441",52,"F",10,64000,FALSE,2024,54,2,8
"DC00442",41,"H",10,156000,TRUE,2025,42,1,9
"DC00443",34,"F",15,160000,FALSE,2022,38,4,11
"DC00444",23,"H",10,221000,FALSE,2025,24,1,9
"DC00445",58,"H",10,69000,FALSE,2019,65,7,3
"DC00446",29,"H",10,188000,FALSE,2022,33,4,6
"DC00447",27,"H",10,765000,FALSE,2021,32,5,5
"DC00448",50,"H",20,425000,FALSE,2020,56,6,14
"DC00449",47,"F",20,90000,FALSE,2025,48,1,19
"DC00450",54,"H",15,123000,FALSE,2023,57,3,12
"DC00451",39,"H",30,185000,FALSE,2022,43,4,26
"DC00452",27,"H",15,248000,FALSE,2022,31,4,11
"DC00453",51,"H",10,200000,FALSE,2021,56,5,5
"DC00454",22,"F",15,131000,FALSE,2023,25,3,12
"DC00455",60,"H",10,260000,FALSE,2022,64,4,6
"DC00456",30,"F",20,102000,TRUE,2021,35,5,15
"DC00457",32,"F",15,164000,FALSE,2021,37,5,10
"DC00458",58,"F",10,189000,FALSE,2018,66,8,2
"DC00459",37,"H",10,157000,TRUE,2022,41,4,6
"DC00460",58,"H",12,272000,TRUE,2025,59,1,11
"DC00461",40,"H",10,89000,FALSE,2018,48,8,2
"DC00462",24,"F",15,98000,FALSE,2020,30,6,9
"DC00463",50,"H",20,179000,FALSE,2022,54,4,16
"DC00465",37,"H",10,230000,TRUE,2023,40,3,7
"DC00467",22,"F",15,121000,FALSE,2022,26,4,11
"DC00468",27,"F",20,40000,FALSE,2021,32,5,15
"DC00469",38,"F",5,557000,FALSE,2022,42,4,1
"DC00470",29,"H",20,183000,FALSE,2022,33,4,16
"DC00471",34,"H",20,172000,FALSE,2025,35,1,19
"DC00472",31,"F",15,113000,FALSE,2022,35,4,11
"DC00473",54,"H",10,125000,FALSE,2021,59,5,5
"DC00474",51,"H",15,43000,TRUE,2023,54,3,12
"DC00475",53,"F",17,142000,FALSE,2021,58,5,12
"DC00476",59,"F",11,117000,FALSE,2020,65,6,5
"DC00477",20,"F",20,203000,FALSE,2024,22,2,18
"DC00478",32,"F",10,100000,FALSE,2025,33,1,9
"DC00479",26,"H",20,190000,TRUE,2020,32,6,14
"DC00480",30,"H",25,180000,TRUE,2021,35,5,20
