"age","qx","px","lx","dx","ex"
43,0.0037725,0.9962275,94267.9193,355.626,29.8764
44,0.00409459,0.99590541,93912.2933,384.5326,28.9896
45,0.00445038,0.99554962,93527.7607,416.2342,28.1088
46,0.00484338,0.99515662,93111.5266,450.9744,27.2344
47,0.00527746,0.99472254,92660.5522,489.0125,26.367
48,0.0057569,0.9942431,92171.5397,530.6226,25.5068
49,0.00628642,0.99371358,91640.9171,576.0929,24.6545
50,0.0068712,0.9931288,91064.8242,625.7247,23.8105
51,0.00751699,0.99248301,90439.0995,679.8295,22.9752
52,0.00823009,0.99176991,89759.27,738.7271,22.1493
53,0.00901748,0.99098252,89020.5429,802.7409,21.3331
54,0.00988681,0.99011319,88217.802,872.193,20.5272
55,0.01084654,0.98915346,87345.609,947.3978,19.7322
56,0.01190596,0.98809404,86398.2112,1028.6536,18.9485
57,0.0130753,0.9869247,85369.5577,1116.2322,18.1768
58,0.0143658,0.9856342,84253.3255,1210.3667,17.4177
59,0.01578985,0.98421015,83042.9588,1311.236,16.6715
60,0.01736103,0.98263897,81731.7228,1418.9471,15.939
61,0.01909427,0.98090573,80312.7757,1533.5139,15.2206
62,0.02100594,0.97899406,78779.2618,1654.8327,14.5169
63,0.02311401,0.97688599,77124.4291,1782.6547,13.8284
64,0.02543814,0.97456186,75341.7744,1916.5548,13.1556
65,0.02799988,0.97200012,73425.2197,2055.8973,12.499
66,0.03082277,0.96917723,71369.3224,2199.8001,11.859
67,0.03393253,0.96606747,69169.5223,2347.0967,11.2362
68,0.03735721,0.96264279,66822.4256,2496.2992,10.6308
69,0.04112736,0.95887264,64326.1265,2645.5638,10.0434
70,0.04527621,0.95472379,61680.5627,2792.6621,9.4741
71,0.04983981,0.95016019,58887.9006,2934.962,8.9234
72,0.05485723,0.94514277,55952.9386,3069.4233,8.3915
73,0.06037067,0.93962933,52883.5153,3192.6131,7.8786
74,0.06642562,0.93357438,49690.9022,3300.7489,7.3848
75,0.07307097,0.92692903,46390.1532,3389.7735,6.9102
76,0.08035909,0.91964091,43000.3797,3455.4712,6.4549
77,0.08834582,0.91165418,39544.9085,3493.6276,6.019
78,0.09709053,0.90290947,36051.281,3500.2379,5.6022
79,0.1066559,0.8933441,32551.0431,3471.7609,5.2047
80,0.11710783,0.88289217,29079.2821,3405.4117,4.826
81,0.12851506,0.87148494,25673.8704,3299.4789,4.4662
82,0.1409487,0.8590513,22374.3915,3153.6415,4.1248
83,0.15448168,0.84551832,19220.75,2969.2537,3.8016
84,0.16918781,0.83081219,16251.4963,2749.555,3.4961
85,0.18514078,0.81485922,13501.9413,2499.76,3.2081
86,0.2024128,0.7975872,11002.1813,2226.9824,2.937
87,0.22107292,0.77892708,8775.199,1939.9588,2.6823
88,0.24118503,0.75881497,6835.2401,1648.5576,2.4436
89,0.26280552,0.73719448,5186.6825,1363.0888,2.2203
90,0.28598043,0.71401957,3823.5937,1093.473,2.0119
91,0.31074234,0.68925766,2730.1208,848.3641,1.8177
92,0.33710676,0.66289324,1881.7566,634.3529,1.6371
93,0.36506819,0.63493181,1247.4037,455.3874,1.4697
94,0.39459591,0.60540409,792.0163,312.5264,1.3147
95,0.42562962,0.57437038,479.4899,204.0851,1.1716
96,0.45807509,0.54192491,275.4048,126.1561,1.0398
97,0.49180002,0.50819998,149.2487,73.4005,0.9187
98,0.52663058,0.47336942,75.8482,39.944,0.8078
99,0.56234878,0.43765122,35.9042,20.1907,0.7065
100,0.59869135,0.40130865,15.7135,9.4076,0.6142
101,0.63535045,0.36464955,6.306,4.0065,0.5306
102,0.67197681,0.32802319,2.2995,1.5452,0.455
103,0.70818578,0.29181422,0.7543,0.5342,0.387
104,0.74356662,0.25643338,0.2201,0.1637,0.3262
105,0.77769522,0.22230478,0.0564,0.0439,0.2722
106,0.81015011,0.18984989,0.0125,0.0102,0.2246
107,0.84053134,0.15946866,0.0024,0.002,0.1829
108,0.8684811,0.1315189,4e-04,3e-04,0.1468
109,0.89370475,0.10629525,0,0,0.1158
110,0.91599024,0.08400976,0,0,0.0897
111,0.93522368,0.06477632,0,0,0.068
112,0.95139881,0.04860119,0,0,0.0504
113,0.96461846,0.03538154,0,0,0.0363
114,0.97508676,0.02491324,0,0,0.0253
115,0.98309219,0.01690781,0,0,0.0171
116,0.98898287,0.01101713,0,0,0.0111
117,0.99313694,0.00686306,0,0,0.0069
118,0.99593197,0.00406803,0,0,0.0041
119,0.99771755,0.00228245,0,0,0.0023
120,1,0,0,0,0
