"age","age_actuariel","genre","fumeur","duree","capital","pnu_unitaire","prime_nette_annuelle","prime_commerciale","dont_frais_acquisition","dont_frais_gestion","dont_frais_capital","dont_frais_fixes","marge_technique","taux_chargement","annuite_actuarielle","hypotheses","id_contrat"
21,22,"F","FALSE",20,87000,0.01667,87.6,159.77,12.78,9.59,34.8,15,0,82.38,16.5564,"Base","DC00047"
22,23,"H","FALSE",15,344000,0.020182,534.57,799.03,63.92,47.94,137.6,15,0,49.47,12.9875,"Base","DC00048"
40,41,"H","FALSE",25,96000,0.178906,928.47,1141.7,91.34,68.5,38.4,15,0,22.97,18.4982,"Base","DC00049"
21,25,"H","TRUE",20,869000,0.034482,1823.95,2542.49,203.4,152.55,347.6,15,0,39.4,16.4285,"Base","DC00050"
57,58,"H","FALSE",5,113000,0.079518,1927.89,2311.74,184.94,138.7,45.2,15,0,19.91,4.6608,"Base","DC00051"
29,30,"F","FALSE",10,293000,0.010659,342.41,551.87,44.15,33.11,117.2,15,0,61.17,9.1206,"Base","DC00052"
59,63,"H","TRUE",11,209000,0.312872,7589.22,8939.33,715.15,536.36,83.6,15,0,17.79,8.6162,"Base","DC00053"
24,27,"F","TRUE",20,135000,0.023553,192.55,304.13,24.33,18.25,54,15,0,57.95,16.5134,"Base","DC00054"
52,55,"F","TRUE",18,70000,0.228611,1154.27,1392.18,111.37,83.53,28,15,0,20.61,13.8639,"Base","DC00055"
58,59,"H","FALSE",12,181000,0.252261,4747.02,5621.41,449.71,337.28,72.4,15,0,18.42,9.6185,"Base","DC00056"
55,59,"H","TRUE",15,306000,0.33616,9199.86,10857.28,868.58,651.44,122.4,15,0,18.02,11.1811,"Base","DC00057"
28,29,"F","FALSE",20,137000,0.027455,228.12,346.41,27.71,20.78,54.8,15,0,51.86,16.489,"Base","DC00058"
48,52,"H","TRUE",10,128000,0.108445,1586.5,1921.75,153.74,115.3,51.2,15,0,21.13,8.7494,"Base","DC00059"
31,32,"H","FALSE",15,559000,0.036276,1571.54,2104.82,168.39,126.29,223.6,15,0,33.93,12.9036,"Base","DC00060"
39,40,"F","FALSE",25,84000,0.109952,484.02,619.33,49.55,37.16,33.6,15,0,27.95,19.0816,"Base","DC00061"
28,29,"H","FALSE",15,122000,0.029288,276.13,395.26,31.62,23.72,48.8,15,0,43.15,12.9401,"Base","DC00062"
54,55,"H","FALSE",10,99000,0.141352,1623.22,1950.96,156.08,117.06,39.6,15,0,20.19,8.621,"Base","DC00063"
48,49,"H","FALSE",15,542000,0.147948,6518.98,7849.75,627.98,470.98,216.8,15,0,20.41,12.3006,"Base","DC00064"
35,38,"F","TRUE",10,299000,0.019802,651.57,914.15,73.13,54.85,119.6,15,0,40.3,9.0871,"Base","DC00065"
56,60,"H","TRUE",14,191000,0.332341,6016.01,7101.64,568.13,426.1,76.4,15,0,18.05,10.5514,"Base","DC00066"
47,48,"H","FALSE",20,118000,0.213842,1658.82,2001.19,160.09,120.07,47.2,15,0,20.64,15.2117,"Base","DC00067"
24,25,"H","FALSE",10,350000,0.013553,520.83,785.85,62.87,47.15,140,15,0,50.88,9.1077,"Base","DC00068"
47,48,"F","FALSE",10,256000,0.048879,1393.47,1756.82,140.55,105.41,102.4,15,0,26.08,8.9798,"Base","DC00069"
21,24,"F","TRUE",5,196000,0.003388,138.3,269.42,21.55,16.17,78.4,15,0,94.81,4.8013,"Base","DC00070"
37,38,"F","FALSE",20,138000,0.059004,499.88,662.88,53.03,39.77,55.2,15,0,32.61,16.2891,"Base","DC00071"
43,46,"F","TRUE",10,175000,0.040523,787,1013.95,81.12,60.84,70,15,0,28.84,9.0108,"Base","DC00072"
37,38,"H","FALSE",10,43000,0.032665,155.43,218.17,17.45,13.09,17.2,15,0,40.37,9.0369,"Base","DC00073"
24,25,"F","FALSE",20,25000,0.020371,30.8,64.89,5.19,3.89,10,15,0,110.65,16.5333,"Base","DC00074"
59,60,"F","FALSE",10,230000,0.152432,4084.19,4873.47,389.88,292.41,92,15,0,19.33,8.5842,"Base","DC00075"
59,63,"H","TRUE",11,409000,0.312872,14851.64,17477.02,1398.16,1048.62,163.6,15,0,17.68,8.6162,"Base","DC00076"
40,41,"F","FALSE",10,98000,0.025691,277.72,385.96,30.88,23.16,39.2,15,0,38.97,9.0655,"Base","DC00077"
55,56,"F","FALSE",15,440000,0.18789,6835.98,8170.9,653.67,490.25,176,15,0,19.53,12.0936,"Base","DC00078"
58,59,"F","FALSE",12,414000,0.178206,7386.41,8798.85,703.91,527.93,165.6,15,0,19.12,9.9882,"Base","DC00080"
37,38,"F","FALSE",10,411000,0.019802,895.63,1250.04,100,75,164.4,15,0,39.57,9.0871,"Base","DC00081"
46,47,"H","FALSE",10,122000,0.069738,956.21,1186.06,94.88,71.16,48.8,15,0,24.04,8.8976,"Base","DC00082"
32,33,"F","FALSE",25,216000,0.058843,653.12,877.35,70.19,52.64,86.4,15,0,34.33,19.4607,"Base","DC00083"
38,39,"H","FALSE",10,168000,0.035391,658.69,861.5,68.92,51.69,67.2,15,0,30.79,9.0267,"Base","DC00084"
51,52,"F","FALSE",10,81000,0.07145,650.61,811.64,64.93,48.7,32.4,15,0,24.75,8.8954,"Base","DC00085"
35,39,"H","TRUE",10,185000,0.035391,725.34,946.91,75.75,56.81,74,15,0,30.55,9.0267,"Base","DC00086"
48,49,"F","FALSE",15,112000,0.098587,877.42,1089.79,87.18,65.39,44.8,15,0,24.2,12.5844,"Base","DC00087"
36,37,"H","FALSE",5,277000,0.013005,753.08,1021.95,81.76,61.32,110.8,15,0,35.7,4.7835,"Base","DC00088"
28,29,"H","FALSE",10,203000,0.017108,381.88,555.9,44.47,33.35,81.2,15,0,45.57,9.0945,"Base","DC00089"
40,41,"F","FALSE",10,161000,0.025691,456.26,622.86,49.83,37.37,64.4,15,0,36.51,9.0655,"Base","DC00090"
27,30,"F","TRUE",25,399000,0.045465,927.54,1281.56,102.53,76.89,159.6,15,0,38.17,19.5578,"Base","DC00091"
48,49,"H","FALSE",10,211000,0.083156,1983.36,2421.81,193.75,145.31,84.4,15,0,22.11,8.8466,"Base","DC00092"
57,58,"F","FALSE",10,465000,0.126385,6766.16,8101.35,648.11,486.08,186,15,0,19.73,8.6858,"Base","DC00093"
20,24,"H","TRUE",5,29000,0.005956,36.01,72.8,5.82,4.37,11.6,15,0,102.17,4.7963,"Base","DC00094"
32,33,"F","FALSE",5,257000,0.005727,306.82,493.75,39.5,29.62,102.8,15,0,60.92,4.797,"Base","DC00095"
33,34,"H","FALSE",15,52000,0.042198,170.46,239.84,19.19,14.39,20.8,15,0,40.7,12.8725,"Base","DC00096"
28,29,"H","FALSE",20,79000,0.045583,220.15,310.18,24.81,18.61,31.6,15,0,40.89,16.3571,"Base","DC00098"
35,36,"H","FALSE",15,139000,0.049371,534.69,703.82,56.31,42.23,55.6,15,0,31.63,12.8348,"Base","DC00099"
45,46,"F","FALSE",20,179000,0.122397,1380.05,1705.41,136.43,102.32,71.6,15,0,23.58,15.8756,"Base","DC00100"
52,56,"H","TRUE",10,397000,0.154315,7148.72,8514.56,681.16,510.87,158.8,15,0,19.11,8.5698,"Base","DC00101"
48,49,"F","FALSE",15,151000,0.098587,1182.95,1463.19,117.06,87.79,60.4,15,0,23.69,12.5844,"Base","DC00102"
44,45,"F","FALSE",5,370000,0.015262,1181.43,1563.29,125.06,93.8,148,15,0,32.32,4.7798,"Base","DC00103"
51,52,"H","FALSE",19,247000,0.27191,4741.35,5645.53,451.64,338.73,98.8,15,0,19.07,14.1651,"Base","DC00104"
36,39,"F","TRUE",10,79000,0.021568,187.64,272.37,21.79,16.34,31.6,15,0,45.16,9.0807,"Base","DC00105"
33,34,"H","FALSE",15,106000,0.042198,347.48,470.79,37.66,28.25,42.4,15,0,35.49,12.8725,"Base","DC00106"
25,26,"H","FALSE",10,17000,0.014315,26.73,56.43,4.51,3.39,6.8,15,0,111.12,9.1048,"Base","DC00107"
56,57,"F","FALSE",14,92000,0.185418,1496,1799.77,143.98,107.99,36.8,15,0,20.31,11.4027,"Base","DC00108"
35,36,"F","FALSE",10,185000,0.01677,340.99,499.99,40,30,74,15,0,46.63,9.0982,"Base","DC00109"
50,51,"H","FALSE",20,143000,0.271944,2630.6,3142.79,251.42,188.57,57.2,15,0,19.47,14.783,"Base","DC00110"
53,54,"H","FALSE",10,82000,0.12943,1224.45,1479.36,118.35,88.76,32.8,15,0,20.82,8.6678,"Base","DC00111"
49,52,"F","TRUE",10,94000,0.07145,755.03,939.1,75.13,56.35,37.6,15,0,24.38,8.8954,"Base","DC00112"
51,52,"H","FALSE",19,169000,0.27191,3244.08,3868.24,309.46,232.09,67.6,15,0,19.24,14.1651,"Base","DC00113"
25,28,"F","TRUE",30,158000,0.057227,404.59,561.39,44.91,33.68,63.2,15,0,38.75,22.3479,"Base","DC00114"
41,42,"F","FALSE",20,32000,0.084844,168.4,228.14,18.25,13.69,12.8,15,0,35.48,16.1225,"Base","DC00115"
57,58,"F","FALSE",10,79000,0.126385,1149.52,1390.84,111.27,83.45,31.6,15,0,20.99,8.6858,"Base","DC00116"
50,51,"F","FALSE",20,143000,0.192085,1783.58,2157.89,172.63,129.47,57.2,15,0,20.99,15.4005,"Base","DC00117"
25,26,"F","FALSE",20,276000,0.021881,365.48,570.78,45.66,34.25,110.4,15,0,56.18,16.5239,"Base","DC00118"
39,40,"H","FALSE",10,36000,0.038395,153.32,212.46,17,12.75,14.4,15,0,38.58,9.0155,"Base","DC00119"
34,35,"H","FALSE",30,143000,0.158811,1059.15,1315.52,105.24,78.93,57.2,15,0,24.21,21.4418,"Base","DC00120"
53,57,"H","TRUE",17,61000,0.340747,1673.33,1991.55,159.32,119.49,24.4,15,0,19.02,12.4216,"Base","DC00121"
42,43,"H","FALSE",15,261000,0.088326,1825.66,2261.7,180.94,135.7,104.4,15,0,23.88,12.6273,"Base","DC00122"
31,34,"F","TRUE",10,110000,0.014301,172.73,269.45,21.56,16.17,44,15,0,56,9.1073,"Base","DC00123"
45,48,"F","TRUE",15,114000,0.089796,810.43,1012.83,81.03,60.77,45.6,15,0,24.97,12.6312,"Base","DC00124"
60,61,"H","FALSE",10,83000,0.237053,2389.68,2834.74,226.78,170.08,33.2,15,0,18.62,8.2335,"Base","DC00125"
20,24,"H","TRUE",25,51000,0.04698,122.76,183.91,14.71,11.03,20.4,15,0,49.81,19.5177,"Base","DC00126"
21,22,"H","FALSE",25,61000,0.041042,127.99,194.63,15.57,11.68,24.4,15,0,52.08,19.5615,"Base","DC00127"
43,44,"H","FALSE",10,109000,0.053748,654,828.6,66.29,49.72,43.6,15,0,26.7,8.958,"Base","DC00128"
53,54,"F","FALSE",10,218000,0.086463,2132.54,2598.53,207.88,155.91,87.2,15,0,21.85,8.8387,"Base","DC00129"
44,45,"F","FALSE",10,192000,0.03693,785.75,1020.4,81.63,61.22,76.8,15,0,29.86,9.0241,"Base","DC00130"
47,48,"F","FALSE",15,515000,0.089796,3661.17,4514.15,361.13,270.85,206,15,0,23.3,12.6312,"Base","DC00131"
33,37,"H","TRUE",15,181000,0.053504,755.81,980.47,78.44,58.83,72.4,15,0,29.73,12.813,"Base","DC00132"
53,54,"F","FALSE",10,106000,0.086463,1036.92,1272.47,101.8,76.35,42.4,15,0,22.72,8.8387,"Base","DC00133"
21,22,"F","FALSE",20,220000,0.01667,221.51,377.34,30.19,22.64,88,15,0,70.35,16.5564,"Base","DC00134"
50,51,"H","FALSE",15,119000,0.175505,1719.56,2072.27,165.78,124.34,47.6,15,0,20.51,12.1457,"Base","DC00135"
51,55,"H","TRUE",10,384000,0.141352,6296.13,7517.13,601.37,451.03,153.6,15,0,19.39,8.621,"Base","DC00136"
46,47,"F","FALSE",15,158000,0.081791,1019.67,1276.59,102.13,76.6,63.2,15,0,25.2,12.6738,"Base","DC00137"
29,33,"H","TRUE",15,780000,0.039095,2365.92,3131.31,250.5,187.88,312,15,0,32.35,12.8888,"Base","DC00138"
47,48,"F","FALSE",15,31000,0.089796,220.38,288.12,23.05,17.29,12.4,15,0,30.74,12.6312,"Base","DC00139"
56,57,"F","FALSE",5,62000,0.047872,628.78,777.42,62.19,46.65,24.8,15,0,23.64,4.7203,"Base","DC00140"
24,25,"F","FALSE",20,232000,0.020371,285.85,457.74,36.62,27.46,92.8,15,0,60.13,16.5333,"Base","DC00142"
54,55,"F","FALSE",16,149000,0.189725,2212.97,2659.96,212.8,159.6,59.6,15,0,20.2,12.7743,"Base","DC00143"
33,37,"H","TRUE",15,34000,0.053504,141.97,198.34,15.87,11.9,13.6,15,0,39.7,12.813,"Base","DC00144"
33,34,"F","FALSE",5,82000,0.006149,105.12,177.82,14.23,10.67,32.8,15,0,69.15,4.7963,"Base","DC00145"
47,48,"F","FALSE",20,315000,0.146834,2943.84,3587.03,286.96,215.22,126,15,0,21.85,15.7116,"Base","DC00146"
52,53,"F","FALSE",5,303000,0.032433,2069.48,2564.75,205.18,153.88,121.2,15,0,23.93,4.7486,"Base","DC00147"
56,57,"F","FALSE",10,103000,0.114995,1356.8,1643.02,131.44,98.58,41.2,15,0,21.1,8.7297,"Base","DC00148"
54,57,"F","TRUE",16,112000,0.226471,2020.6,2419.07,193.53,145.14,44.8,15,0,19.72,12.5531,"Base","DC00149"
45,46,"F","FALSE",15,50000,0.074508,293.06,381.46,30.52,22.89,20,15,0,30.17,12.7123,"Base","DC00150"
50,51,"H","FALSE",20,139000,0.271944,2557.01,3055.36,244.43,183.32,55.6,15,0,19.49,14.783,"Base","DC00151"
51,55,"H","TRUE",10,199000,0.141352,3262.84,3904,312.32,234.24,79.6,15,0,19.65,8.621,"Base","DC00152"
36,37,"F","FALSE",20,228000,0.053958,753.77,999.97,80,60,91.2,15,0,32.66,16.3213,"Base","DC00153"
46,47,"H","FALSE",24,609000,0.267987,9498.72,11345.73,907.66,680.74,243.6,15,0,19.44,17.1817,"Base","DC00154"
49,50,"F","FALSE",15,404000,0.108228,3488.82,4262.12,340.97,255.73,161.6,15,0,22.16,12.5326,"Base","DC00155"
55,59,"H","TRUE",15,272000,0.33616,8177.65,9652.85,772.23,579.17,108.8,15,0,18.04,11.1811,"Base","DC00156"
39,43,"H","TRUE",15,63000,0.088326,440.68,559.16,44.73,33.55,25.2,15,0,26.89,12.6273,"Base","DC00157"
30,31,"F","FALSE",20,155000,0.032237,303.59,442.55,35.4,26.55,62,15,0,45.77,16.4589,"Base","DC00158"
36,37,"H","FALSE",20,258000,0.085452,1369.63,1730.03,138.4,103.8,103.2,15,0,26.31,16.0969,"Base","DC00159"
28,31,"F","TRUE",10,82000,0.011433,102.82,175.14,14.01,10.51,32.8,15,0,70.33,9.1178,"Base","DC00160"
36,37,"F","FALSE",15,73000,0.032945,186.01,267.69,21.42,16.06,29.2,15,0,43.91,12.9291,"Base","DC00161"
32,33,"H","FALSE",10,51000,0.022383,125.79,187.43,14.99,11.25,20.4,15,0,49,9.075,"Base","DC00162"
50,53,"F","TRUE",15,148000,0.142952,1713.94,2079.24,166.34,124.75,59.2,15,0,21.31,12.3439,"Base","DC00163"
20,21,"H","FALSE",15,74000,0.01816,103.39,172.08,13.77,10.32,29.6,15,0,66.44,12.998,"Base","DC00164"
36,37,"F","FALSE",20,81000,0.053958,267.79,366.5,29.32,21.99,32.4,15,0,36.86,16.3213,"Base","DC00165"
52,53,"H","FALSE",15,105000,0.207736,1823.63,2186.78,174.94,131.21,42,15,0,19.91,11.9609,"Base","DC00166"
47,48,"H","FALSE",23,145000,0.269491,2355,2823.26,225.86,169.4,58,15,0,19.88,16.5929,"Base","DC00167"
21,22,"H","FALSE",5,187000,0.005474,213.39,352.55,28.2,21.15,74.8,15,0,65.21,4.7972,"Base","DC00168"
50,51,"F","FALSE",10,83000,0.064957,604.44,758.88,60.71,45.53,33.2,15,0,25.55,8.9198,"Base","DC00169"
27,28,"H","FALSE",25,133000,0.06284,430.81,580.25,46.42,34.81,53.2,15,0,34.69,19.4001,"Base","DC00170"
35,36,"H","FALSE",15,302000,0.049371,1161.69,1508.71,120.7,90.52,120.8,15,0,29.87,12.8348,"Base","DC00171"
22,23,"H","FALSE",10,227000,0.012238,304.87,477.52,38.2,28.65,90.8,15,0,56.63,9.1125,"Base","DC00172"
56,60,"H","TRUE",14,881000,0.332341,27749.23,32693.75,2615.5,1961.63,352.4,15,0,17.82,10.5514,"Base","DC00173"
32,33,"F","FALSE",15,84000,0.023553,152.46,233.79,18.7,14.03,33.6,15,0,53.35,12.9774,"Base","DC00174"
31,35,"H","TRUE",20,162000,0.072565,726.48,937.53,75,56.25,64.8,15,0,29.05,16.1817,"Base","DC00175"
20,21,"F","FALSE",30,143000,0.032615,206.9,324.53,25.96,19.47,57.2,15,0,56.86,22.542,"Base","DC00176"
49,50,"F","FALSE",10,586000,0.059065,3870.8,4790.93,383.27,287.46,234.4,15,0,23.77,8.9418,"Base","DC00177"
56,57,"H","FALSE",10,90000,0.168387,1780.04,2129.12,170.33,127.75,36,15,0,19.61,8.5138,"Base","DC00179"
25,26,"F","FALSE",5,283000,0.003737,220.28,405.21,32.42,24.31,113.2,15,0,83.95,4.8006,"Base","DC00180"
35,36,"H","FALSE",10,347000,0.027944,1070.91,1424.09,113.93,85.45,138.8,15,0,32.98,9.0544,"Base","DC00181"
29,32,"F","TRUE",10,296000,0.012292,399.19,619.3,49.54,37.16,118.4,15,0,55.14,9.1146,"Base","DC00182"
26,29,"F","TRUE",15,76000,0.017309,101.12,170.37,13.63,10.22,30.4,15,0,68.49,13.0094,"Base","DC00183"
60,61,"F","FALSE",10,825000,0.167242,16183.3,19218.95,1537.52,1153.14,330,15,0,18.76,8.5257,"Base","DC00185"
44,45,"F","FALSE",10,41000,0.03693,167.79,231.62,18.53,13.9,16.4,15,0,38.04,9.0241,"Base","DC00186"
22,23,"F","FALSE",15,538000,0.011661,481.16,827.16,66.17,49.63,215.2,15,0,71.91,13.0383,"Base","DC00187"
37,38,"F","FALSE",15,265000,0.035949,737.72,998.51,79.88,59.91,106,15,0,35.35,12.9136,"Base","DC00188"
47,48,"H","FALSE",15,97000,0.135767,1064.77,1300.66,104.05,78.04,38.8,15,0,22.15,12.3683,"Base","DC00189"
34,35,"F","FALSE",10,123000,0.015472,209.06,317.74,25.42,19.06,49.2,15,0,51.99,9.103,"Base","DC00190"
48,52,"H","TRUE",22,75000,0.339484,1650.79,1971.85,157.75,118.31,30,15,0,19.45,15.4237,"Base","DC00191"
39,40,"F","FALSE",25,116000,0.109952,668.41,848.62,67.89,50.92,46.4,15,0,26.96,19.0816,"Base","DC00192"
44,48,"H","TRUE",10,198000,0.076139,1698.97,2085.09,166.81,125.11,79.2,15,0,22.73,8.8733,"Base","DC00193"
35,36,"F","FALSE",15,237000,0.030228,553.51,771.29,61.7,46.28,94.8,15,0,39.35,12.9431,"Base","DC00194"
43,46,"F","TRUE",15,38000,0.074508,222.72,294.1,23.53,17.65,15.2,15,0,32.05,12.7123,"Base","DC00195"
52,56,"H","TRUE",15,117000,0.265771,2676.52,3184.1,254.73,191.05,46.8,15,0,18.96,11.6178,"Base","DC00196"
57,58,"F","FALSE",13,119000,0.182223,2026.38,2429.05,194.32,145.74,47.6,15,0,19.87,10.7011,"Base","DC00197"
60,61,"H","FALSE",10,91000,0.237053,2620.01,3106.29,248.5,186.38,36.4,15,0,18.56,8.2335,"Base","DC00198"
41,42,"H","FALSE",10,264000,0.045341,1331.55,1688.55,135.08,101.31,105.6,15,0,26.81,8.9895,"Base","DC00199"
45,46,"H","FALSE",15,326000,0.114284,2983.77,3638.57,291.09,218.31,130.4,15,0,21.95,12.4865,"Base","DC00200"
39,40,"F","FALSE",20,229000,0.070692,998.41,1284.9,102.79,77.09,91.6,15,0,28.69,16.2141,"Base","DC00201"
56,57,"F","FALSE",14,80000,0.185418,1300.87,1567.29,125.38,94.04,32,15,0,20.48,11.4027,"Base","DC00202"
34,35,"F","FALSE",15,156000,0.027774,334.42,478.87,38.31,28.73,62.4,15,0,43.19,12.9557,"Base","DC00203"
40,41,"H","FALSE",10,224000,0.041702,1037.54,1328.07,106.25,79.68,89.6,15,0,28,9.0031,"Base","DC00204"
44,45,"F","FALSE",15,62000,0.06789,330.21,430.24,34.42,25.81,24.8,15,0,30.29,12.7471,"Base","DC00206"
57,58,"H","FALSE",13,124000,0.257846,3105.84,3686.56,294.92,221.19,49.6,15,0,18.7,10.2944,"Base","DC00207"
20,21,"H","FALSE",25,92000,0.038474,180.78,270.44,21.63,16.23,36.8,15,0,49.6,19.5803,"Base","DC00208"
33,36,"F","TRUE",15,155000,0.030228,362,510.47,40.84,30.63,62,15,0,41.01,12.9431,"Base","DC00209"
30,34,"H","TRUE",15,147000,0.042198,481.89,646.15,51.69,38.77,58.8,15,0,34.09,12.8725,"Base","DC00210"
47,48,"H","FALSE",10,79000,0.076139,677.87,842.41,67.39,50.54,31.6,15,0,24.27,8.8733,"Base","DC00211"
37,38,"F","FALSE",10,762000,0.019802,1660.52,2302.69,184.22,138.16,304.8,15,0,38.67,9.0871,"Base","DC00212"
53,54,"F","FALSE",15,403000,0.1567,5147.49,6190.34,495.23,371.42,161.2,15,0,20.26,12.2681,"Base","DC00213"
55,59,"H","TRUE",15,367000,0.33616,11033.82,13018.16,1041.45,781.09,146.8,15,0,17.98,11.1811,"Base","DC00214"
39,40,"H","FALSE",20,53000,0.10969,364.82,466.3,37.3,27.98,21.2,15,0,27.82,15.9355,"Base","DC00215"
34,35,"H","FALSE",20,302000,0.072565,1354.3,1732.67,138.61,103.96,120.8,15,0,27.94,16.1817,"Base","DC00216"
26,27,"H","FALSE",10,109000,0.015155,181.5,279.18,22.33,16.75,43.6,15,0,53.82,9.1017,"Base","DC00217"
